"pizzaId";"pizzaName";"pizzaPrice";"pizzaPrice1";"pizzaPrice2";"pizzaDesc";"pizzaCategorieId";"pizzaPubDate"
"229";"Mighty Guard Mobile Security";"667";"400.2";"14.82";"Code: MG0001   Shade Name: 
DP: 667.00   BV: 400.20   PV: 14.82
Weight(gm): 0.00
";"31";"2022-02-26 10:57:42"
"230";"SM MENS  GOLD INDEX DIAL ( DATE )  TWO TONE WATCH";"3477";"1738.7";"64.4";"Code: WAT014   Shade Name: 
DP: 3477.00   BV: 1738.70   PV: 64.40
Weight(gm): 240.00";"34";"2022-02-26 11:00:05"
"231";"SM MENS (DAY & DATE) BLUE BEZEL WITH  SILVER METAL STRAP WATCH";"3043";"1521.3";"56.34";"Code: WAT018   Shade Name: 
DP: 3043.00   BV: 1521.30   PV: 56.34
Weight(gm): 240.00";"34";"2022-02-26 11:01:14"
"232";"SM MENS (DAY & DATE ) BLUE BEZEL WITH  LEATHER STRAP WATCH";"3477";"1738.7";"64.4";"Code: WAT019   Shade Name: 
DP: 3477.00   BV: 1738.70   PV: 64.40
Weight(gm): 240.00";"34";"2022-02-26 11:02:04"
"233";"SM MENS BLACK DOUBLE MOVEMENT (TWO TIME ZONES) WITH  SILICON STRAP WATCH";"3477";"1738.7";"64.4";"Code: WAT021   Shade Name: 
DP: 3477.00   BV: 1738.70   PV: 64.40
Weight(gm): 240.00";"34";"2022-02-26 11:02:55"
"234";"SM LADIES SILVER DIAL STRAP WATCH";"2608";"1303.91";"48.29";"Code: WAT023   Shade Name: 
DP: 2608.00   BV: 1303.91   PV: 48.29
Weight(gm): 240.00";"34";"2022-02-26 11:03:45"
"235";"SM LADIES OVAL SHAPED WITH STONE EMBEDDED DIAL  GOLD TWO TONE WATCH";"2608";"1303.91";"48.29";"Code: WAT024   Shade Name: 
DP: 2608.00   BV: 1303.91   PV: 48.29
Weight(gm): 240.00";"34";"2022-02-26 11:04:40"
"236";"SM LADIES  SILVER PLATED DIAL GOLD WATCH";"2608";"1303.91";"48.29";"Code: WAT027   Shade Name: 
DP: 2608.00   BV: 1303.91   PV: 48.29
Weight(gm): 240.00";"34";"2022-02-26 12:41:26"
"237";"SM LADIES WITH DOUBLE RING STONE EMBEDDED BEZEL TWO TONE GOLD WATCH";"3043";"1521.3";"56.34";"Code: WAT028   Shade Name: 
DP: 3043.00   BV: 1521.30   PV: 56.34
Weight(gm): 240.00";"34";"2022-02-26 12:42:19"
"238";"Sm His N Her Rose Gold Combo Watch Pack";"5044";"2521.74";"93.4";"Code: WAT006   Shade Name: 
DP: 5044.00   BV: 2521.74   PV: 93.40
Weight(gm): 306.00";"34";"2022-02-26 12:49:26"
"239";"Sm Ladies Stone Embedded Two Tone Gold Watch";"2521";"1260.43";"46.68";"Code: WAT010   Shade Name: 
DP: 2521.00   BV: 1260.43   PV: 46.68
Weight(gm): 184.00";"34";"2022-02-26 12:51:57"
"240";"Sm Ladies Stone Embedded Two Tone Gold Watch With Mesh Metal Strap";"2599";"1299.5";"48.13";"Code: WAT011   Shade Name: 
DP: 2599.00   BV: 1299.50   PV: 48.13
Weight(gm): 218.00";"34";"2022-02-26 12:52:45"
"241";"Sm Ladies Stone Embedded Black Dial Watch";"2869";"1434.35";"53.12";"Code: WAT009   Shade Name: 
DP: 2869.00   BV: 1434.35   PV: 53.12
Weight(gm): 206.00";"34";"2022-02-26 12:53:41"
"242";"Sm Ladies Rose Gold Watch";"2869";"1434.35";"53.12";"Code: WAT007   Shade Name: 
DP: 2869.00   BV: 1434.35   PV: 53.12
Weight(gm): 226.00";"34";"2022-02-26 12:54:56"
"243";"Sm Ladies Rose Gold Watch";"2249";"1124.5";"41.65";"Code: WAT008   Shade Name: 
DP: 2249.00   BV: 1124.50   PV: 41.65
Weight(gm): 225.00";"34";"2022-02-26 13:01:14"
"244";"Auto Wash Advanced-Auto Shampoo With Colour Protectants";"120";"60";"2.22";"Code: AC3005   Shade Name: Auto Wash Advanced Concentrated Auto Shampoo (New MRP)
DP: 120.00   BV: 60.00   PV: 2.22
Weight(gm): 310.00";"27";"2022-02-26 13:14:16"
"246";"Sm MenS (Day & Date) Square Two Tone Gold Watch";"2869";"1434.35";"53.12";"Code: WAT005   Shade Name: 
DP: 2869.00   BV: 1434.35   PV: 53.12
Weight(gm): 249.00";"34";"2022-02-26 13:20:34"
"247";"Sm MenS (Date) Gold Watch New";"2599";"1299.5";"48.13";"Code: WAT004   Shade Name: 
DP: 2599.00   BV: 1299.50   PV: 48.13
Weight(gm): 249.00";"34";"2022-02-26 13:22:07"
"248";"Sm MenS (Day & Date) Black Dial Leather Strap Watch";"2521";"1260.43";"46.68";"Code: WAT003   Shade Name: 
DP: 2521.00   BV: 1260.43   PV: 46.68
Weight(gm): 205.00";"34";"2022-02-26 13:23:07"
"249";"Sm MenS (Day & Date) Two Tone Gold Watch";"2999";"1499.5";"55.54";"Code: WAT002   Shade Name: 
DP: 2999.00   BV: 1499.50   PV: 55.54
Weight(gm): 286.00";"34";"2022-02-26 13:24:14"
"250";"Sm MenS (Day & Date) Two Tone Rose Gold Watch";"3260";"1630";"60.37";"Code: WAT001   Shade Name: 
DP: 3260.00   BV: 1630.00   PV: 60.37
Weight(gm): 284.00";"34";"2022-02-26 13:25:11"
"251";"Activmax (500 ml)";"665";"399";"14.78";"Code: AG0009   Shade Name: 
DP: 665.00   BV: 399.00   PV: 14.78
Weight(gm): 620.00";"26";"2022-02-26 14:04:45"
"254";"Active - 80 Gold (500 ml)";"640";"384";"14.22";"Code: AG0004   Shade Name: 
DP: 640.00   BV: 384.00   PV: 14.22
Weight(gm): 603.00";"26";"2022-02-26 14:08:42"
"255";"Activzyme (500 ml)";"570";"342";"12.67";"Code: AG0006   Shade Name: 
DP: 570.00   BV: 342.00   PV: 12.67
Weight(gm): 721.00";"26";"2022-02-26 14:09:31"
